Entity ID,Common Name,Scientific Name,Where Listed,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
6231,"Damselfly, oceanic Hawaiian",Megalagrion oceanicum,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,722011,38877.7 acres
1144,Lo`ulu,Pritchardia viscosa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),,42492,
3492,"Petrel, black-capped",Pterodroma hasitata,Wherever found,Birds,Region 4,Proposed Threatened,Not Prudent,Federal Register (2018-10-09),,174567,
1063,Lo`ulu,Pritchardia schattaueri,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-07-02),,504609,
1989,"Snail, Lanai tree",Partulina semicarinata,Wherever found,Snails,Region 1,Endangered,Final,Federal Register (2016-03-30),0 Acres or Miles Designated,-886,0 Acres or Miles
952,Aupaka,Isodendrion hosakae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,22197,501.0 acres
562,"Tarplant, Santa Cruz",Holocarpha macradenia,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2002-10-16),Download,37739,2753.8 acres
485,"Amphipod, Kauai cave",Spelaeorchestia koloana,Wherever found,Crustaceans,Region 1,Endangered,Final,Federal Register (2003-04-09),Download,185829,232.0 acres
206,"Frog, Chiricahua leopard",Rana chiricahuensis,Wherever found,Amphibians,Region 2,Threatened,Final,Federal Register (2012-03-20),Download,173451,601.4 acres
9959,Kolea,Myrsine knudsenii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,23913,2868.1 acres
782,Kulu`i,Nototrichium humile,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,20827,16841.2 acres
610,"Checker-mallow, Keck's",Sidalcea keckii,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2003-03-18),Download,505212,1000.7 acres
365,"Acornshell, southern",Epioblasma othcaloogensis,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80328,397.1 miles
1131,No common name,Cyperus fauriei,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,516776,9586.3 acres
7054,"Cactus, Acuna",Echinomastus erectocentrus var. acunensis,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (2016-08-18),Download,534770,17354.2 acres
869,A`e,Zanthoxylum hawaiiense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,28853,81361.6 acres
671,`Oha wai,Clermontia lindseyana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34647,10971.9 acres
540,"Larkspur, yellow",Delphinium luteum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2003-03-18),Download,18475,2423.8 acres
495,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,Wherever found,Crustaceans,Region 8,Endangered,Final,Federal Register (2007-12-12),Download,624043,12218.3 acres
3990,No common name,Gonocalyx concolor,Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2014-09-09),Download,502817,193.3 acres
981,No common name,Phyllostegia mollis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196171,93242.5 acres
611,"Checkermallow, Wenatchee Mountains",Sidalcea oregana var. calva,Local Endemic,Flowering Plants,Region 1,Endangered,Final,Federal Register (2001-09-06),Download,566794,6190.8 acres
8357,Alani,Melicope paniculata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,196045,4913.8 acres
9378,"Coqui, Llanero",Eleutherodactylus juanariveroi,Wherever found,Amphibians,Region 4,Endangered,Final,Federal Register (2012-10-04),Download,774192,633.8 acres
770,Alani,Melicope munroi,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,196037,8770.3 acres
199,"Salamander, frosted flatwoods",Ambystoma cingulatum,Wherever found,Amphibians,Region 4,Threatened,Final,Federal Register (2009-02-10),Download,173596,21380.3 acres
1218,No common name,Asplenium dielpallidum,Wherever found,Ferns and Allies,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,897136,
829,No common name,Silene alexandri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,20145,8770.3 acres
7949,"Kidneyshell, southern",Ptychobranchus jonesi,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2012-10-10),Download,80160,1072.8 miles
780,`Aiea,Nothocestrum breviflorum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,503963,12886.1 acres
4724,"Skyrocket, Pagosa",Ipomopsis polyantha,Wherever found,Flowering Plants,Region 6,Endangered,Final,Federal Register (2012-08-13),Download,31215,9427.5 acres
1016,No common name,Xylosma crenatum,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,-20,
561,Hau kuahiwi,Hibiscadelphus hualalaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,21972,10891.3 acres
3049,Na`ena`e,Dubautia plantaginea ssp. magnifolia,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,524004,963.0 acres
301,"Trout, bull",Salvelinus confluentus,"U.S.A., conterminous, lower 48 states",Fishes,Region 1,Threatened,Final,Federal Register (2010-10-18),Download,162004,512265.8 acres; 20542.0 miles
510,"Milk-vetch, Lane Mountain",Astragalus jaegerianus,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2011-05-19),Download,25550,14156.5 acres
1179,`Akoko,Euphorbia herbstii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,513383,9454.4 acres
461,"Beetle, [no common name]",Rhadine exilis,Wherever found,Insects,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,-92,1938.5 acres
1049,Haha,Cyanea grimesiana ssp. obatae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,523924,35316.3 acres
499,No common name,Amaranthus brownii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-05-22),Download,181924,185.1 acres
3525,"Darter, rush",Etheostoma phytophilum,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (2012-10-16),Download,650190,13.6 acres
4326,"Damselfly, crimson Hawaiian",Megalagrion leptodemas,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,722005,31073.3 acres
1607,`Akoko,Euphorbia remyi var. remyi,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,845670,25752.4 acres
8254,No common name,Keysseria (=Lagenifera) helenae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,38782,14384.1 acres
3832,Kamakahala,Labordia pumila,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,29946,14384.1 acres
469,"Harvestman, Cokendolpher Cave",Texella cokendolpheri,Wherever found,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,-50,203.1 acres
1521,Kolea,Myrsine mezii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,23919,17261.3 acres
719,No common name,Gouania hillebrandii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,28543,17093.7 acres
536,Ha`iwale,Cyrtandra dentata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34136,35316.3 acres
1094,`Akoko,Euphorbia kuwaleana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,28162,2964.1 acres
2273,Ha`iwale,Cyrtandra sessilis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34241,31073.3 acres
747,Koki`o,Kokia kauaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,21977,
618,No common name,Abutilon sandwicense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,21681,9454.4 acres
9337,"Sage-grouse, greater",Centrocercus urophasianus,Bi-State,Birds,Region 8,Proposed Threatened,Proposed,Federal Register (2013-10-28),,175855,
10234,No common name,Stenogyne kauaulaensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,832912,540.3 acres
1054,Na`ena`e,Dubautia herbstobatae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196318,9454.4 acres
962,Nehe,Lipochaeta micrantha,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,38800,
8303,No common name,Platydesma cornuta var. cornuta,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,529719,25740.9 acres
459,"Beetle, [no common name]",Rhadine infernalis,Wherever found,Insects,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,-979,2331.7 acres
938,Heau,Exocarpos luteolus,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,502586,12311.0 acres
314,"Sturgeon, white",Acipenser transmontanus,"U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",Fishes,Region 1,Endangered,Final,Federal Register (2008-07-09),Download,161068,1631.0 acres
987,No common name,Poa siphonoglossa,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,41169,9417.6 acres
781,`Aiea,Nothocestrum peltatum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,30631,5271.2 acres
865,Nani wai`ale`ale,Viola kauaiensis var. wahiawaensis,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,847704,1623.3 acres
1380,"springsnail, San Bernardino",Pyrgulopsis bernardina,Wherever found,Snails,Region 2,Threatened,Final,Federal Register (2012-04-17),Download,568188,0.5 acres
4237,"Warbler, elfin-woods",Setophaga angelae,Wherever found,Birds,Region 4,Threatened,Proposed,Federal Register (2016-06-22),Download,-1332,27222.3 acres
4766,"Springsnail, Three Forks",Pyrgulopsis trivialis,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2012-04-17),Download,568240,26.3 acres
3540,Haha,Cyanea calycina,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,565107,39203.3 acres
1349,Ha`iwale,Cyrtandra oxybapha,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,501955,12451.0 acres
858,"Tuctoria, Greene's",Tuctoria greenei,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,202500,144757.4 acres
1278,Haha,Cyanea eleeleensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,506924,4913.8 acres
6845,Pa`iniu,Astelia waialealae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,43181,14384.1 acres
380,"Moccasinshell, Alabama",Medionidus acutissimus,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2004-07-01),Download,80262,736.1 miles
1112,Ha`iwale,Cyrtandra viridiflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34259,31073.3 acres
727,pilo,Kadua laxiflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,35023,17637.0 acres
886,"Milk-vetch, Coachella Valley",Astragalus lentiginosus var. coachellae,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2013-02-13),Download,192556,9371.0 acres
311,"Shiner, Topeka",Notropis topeka (=tristis),"Wherever found, except where listed as an experimental population",Fishes,Region 6,Endangered,Final,Federal Register (2004-07-27),Download,163471,6573026.1 acres
1090,"Crownscale, San Jacinto Valley",Atriplex coronata var. notatior,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2013-04-16),0 Acres or Miles Designated,192235,0 Acres or Miles
539,"Larkspur, Baker's",Delphinium bakeri,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2003-03-18),Download,18538,1748.4 acres
7610,"Salamander, Salado",Eurycea chisholmensis,Wherever found,Amphibians,Region 2,Threatened,Proposed,Federal Register (2013-01-25),Download,668290,279.8 acres
1126,"Lupine, Kincaid's",Lupinus sulphureus ssp. kincaidii,Wherever found,Flowering Plants,Region 1,Threatened,Final,Federal Register (2006-10-31),Download,526095,538.6 acres
648,No common name,Bonamia menziesii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,30828,30805.3 acres
741,Kula wahine noho,Isodendrion pyrifolium,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2018-08-21),Download,22204,16821.0 acres
1084,Kuawawaenohu,Schiedea lychnoides,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,20214,
810,Kaulu,Pteralyxia kauaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,30205,5687.1 acres
3267,No common name,Varronia rupicola,Wherever found,Flowering Plants,Region 4,Threatened,Final,Federal Register (2014-09-09),Download,523159,6602.5 acres
6303,Haha,Cyanea profuga,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34733,13880.3 acres
1636,Haha,Cyanea purpurellifolia,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,507720,31073.3 acres
1241,"White-eye, Rota bridled",Zosterops rotensis,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (2006-09-12),Download,-408,5447.6 acres
1194,No common name,Asplenium peruvianum var. insulare,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,17403,57973.6 acres
4508,"Butterfly, Miami Blue",Cyclargus (=Hemiargus) thomasi bethunebakeri,Wherever found,Insects,Region 4,Endangered,Not Prudent,Federal Register (2012-04-06),,778904,
208,"Frog, dusky gopher",Rana sevosa,Wherever found,Amphibians,Region 4,Endangered,Final,Federal Register (2012-06-12),Download,665414,5538.8 acres
5065,"Waterdog, black warrior (=Sipsey Fork)",Necturus alabamensis,Wherever found,Amphibians,Region 4,Endangered,Final,Federal Register (2018-01-03),Download,173628,397.0 miles
2758,Nohoanu,Geranium hanaense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,502758,21140.5 acres
9956,No common name,Lysimachia iniki,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,836182,963.0 acres
1155,No common name,Stenogyne bifida,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,32834,27050.9 acres
6617,"Rose-mallow, Neches River",Hibiscus dasycalyx,Wherever found,Flowering Plants,Region 2,Threatened,Final,Federal Register (2013-09-11),Download,21627,120.7 acres
426,"Butterfly, Quino checkerspot",Euphydryas editha quino (=E. e. wrighti),Wherever found,Insects,Region 8,Endangered,Final,Federal Register (2009-06-17),Download,779299,61973.8 acres
54,"Mouse, St. Andrew beach",Peromyscus polionotus peninsularis,Wherever found,Mammals,Region 4,Endangered,Final,Federal Register (2006-10-12),Download,203502,2137.4 acres
6557,"Darter, diamond",Crystallaria cincotta,Wherever found,Fishes,Region 5,Endangered,Final,Federal Register (2013-08-22),Download,-1154,117.9 miles
993,"Sandalwood, Lanai (=`iliahi)",Santalum haleakalae var. lanaiense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,895619,53459.9 acres
1140,Kuahiwi laukahi,Plantago hawaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,32916,7113.3 acres
473,"Meshweaver, Government Canyon Bat Cave",Cicurina vespera,Wherever found,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876263,64.5 acres
692,No common name,Delissea rhytidosperma,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,34762,1436.8 acres
153,"Sea turtle, hawksbill",Eretmochelys imbricata,Wherever found,Reptiles,Region 4,Endangered,Final,Federal Register (1999-03-23),Download,173836,90061.4 acres
8861,"Bear, polar",Ursus maritimus,Wherever found,Mammals,Region 7,Threatened,Final,Federal Register (2010-12-07),,180542,
806,Po`e,Portulaca sclerocarpa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,20437,757.0 acres
1246,"Springsnail, Roswell",Pyrgulopsis roswellensis,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2011-06-07),Download,568233,61.0 acres
451,"Skipper, Laguna Mountains",Pyrgus ruralis lagunae,Wherever found,Insects,Region 8,Endangered,Final,Federal Register (2006-12-12),Download,707413,6250.7 acres
2458,"ivesia, Webber's",Ivesia webberi,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2014-06-03),Download,25241,1750.7 acres
687,Haha,Cyanea st.-johnii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,507721,31073.3 acres
474,"Meshweaver, Braken Bat Cave",Cicurina venii,Wherever found,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876262,148.1 acres
1205,Pauoa,Ctenitis squamigera,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,17473,40029.6 acres
919,Ha`iwale,Cyrtandra giffardii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34151,15606.5 acres
2683,`Ala `ala wai nui,Peperomia subpetiolata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,18277,21140.5 acres
1559,"Kidneyshell, fluted",Ptychobranchus subtentum,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2013-09-26),Download,80162,1109.5 miles
851,`Ohe`ohe,Polyscias gymnocarpa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,822364,38877.7 acres
5210,"Mouse, New Mexico meadow jumping",Zapus hudsonius luteus,Wherever found,Mammals,Region 2,Endangered,Final,Federal Register (2016-03-16),Download,609782,12415.8 acres
10060,"Darter, Kentucky arrow",Etheostoma spilotum,Wherever found,Fishes,Region 4,Threatened,Final,Federal Register (2016-10-05),Download,-1174,247.4 miles
10225,haha,Cyanea maritae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,845369,37219.4 acres
4420,"Brickell-bush, Florida",Brickellia mosieri,Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2015-08-17),Download,36887,2570.1 acres
1252,"fly, Hawaiian picture-wing",Drosophila musaphilia,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,146515,793.6 acres
755,Nehe,Lipochaeta fauriei,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,38794,1608.6 acres
5956,Popolo,Cyanea solanacea,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34745,22814.2 acres
583,"Orcutt grass, slender",Orcuttia tenuis,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2006-02-10),Download,41974,94020.0 acres
2842,Steelhead,Oncorhynchus (=Salmo) mykiss,South-Central California Coast DPS,Fishes,NOAA,Threatened,Final,Federal Register (2005-09-02),Download,161989,8211.6 miles
2211,"Prickly-apple, aboriginal",Harrisia (=Cereus) aboriginum (=gracilis),Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2016-01-22),Download,195400,3352.7 acres
650,Pua `ala,Brighamia rockii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34624,9468.4 acres
371,"Pigtoe, oval",Pleurobema pyriforme,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2007-11-15),Download,80111,896.2 miles
965,No common name,Lobelia monostachya,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,503518,7747.3 acres
726,No common name,Kadua degeneri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,846014,9454.4 acres
528,"amole, purple",Chlorogalum purpureum,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2002-10-24),Download,42900,5915.7 acres
1255,"fly, Hawaiian picture-wing",Drosophila substenoptera,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-460,324.0 acres
6534,"Pigtoe, tapered",Fusconaia burkei,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2012-10-10),Download,-1163,1201.2 miles
4030,No common name,Schiedea salicaria,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,20222,3897.9 acres
3645,Rabbitsfoot,Quadrula cylindrica cylindrica,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2015-04-30),Download,80068,1353.9 miles
9951,Haha,Cyanea dolichopoda,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,507714,963.0 acres
1135,No common name,Phyllostegia waimeae,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,196178,
56,"Sheep, Peninsular bighorn",Ovis canadensis nelsoni,Peninsular CA pop.,Mammals,Region 8,Endangered,Final,Federal Register (2009-04-14),Download,898805,376082.6 acres
355,"Elktoe, Cumberland",Alasmidonta atropurpurea,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2004-08-31),Download,79928,147.5 miles
590,No common name,Phyllostegia knudsenii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,196165,734.6 acres
614,"Taraxacum, California",Taraxacum californicum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2008-08-14),Download,36203,1701.1 acres
146,"Eider, spectacled",Somateria fischeri,Wherever found,Birds,Region 7,Threatened,Final,Federal Register (2001-02-06),Download,175161,24926667.2 acres
1254,"fly, Hawaiian picture-wing",Drosophila obatai,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-872,109.5 acres
848,No common name,Tetramolopium lepidotum ssp. lepidotum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,202492,9454.4 acres
1207,Wawae`iole,Huperzia mannii,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,202453,55562.3 acres
143,"Murrelet, marbled",Brachyramphus marmoratus,"U.S.A. (CA, OR, WA)",Birds,Region 1,Threatened,Final,Federal Register (2016-08-04),Download,176996,3694906.9 acres
450,"Butterfly, Fender's blue",Icaricia icarioides fenderi,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2006-10-31),Download,779712,2885.0 acres
5265,"Salmon, coho",Oncorhynchus (=Salmo) kisutch,Oregon Coast ESU,Fishes,NOAA,Threatened,Final,Federal Register (2011-04-13),Download,161977,6242.3 miles
9929,"mallow, Gierisch",Sphaeralcea gierischii,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (2013-08-13),Download,845826,12453.9 acres
684,Haha,Cyanea grimesiana ssp. grimesiana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,523923,12354.6 acres
18,Jaguar,Panthera onca,Wherever found,Mammals,Region 2,Endangered,Final,Federal Register (2014-03-05),Download,180593,756339.1 acres
778,No common name,Polyscias racemosa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),,822352,
296,Spikedace,Meda fulgida,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (2012-02-23),Download,163583,581.1 miles
273,"Minnow, loach",Tiaroga cobitis,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (2012-02-23),Download,163389,559.3 miles
4910,"Tiger beetle, Salt Creek",Cicindela nevadica lincolniana,Wherever found,Insects,Region 6,Endangered,Final,Federal Register (2014-05-06),Download,697848,852.3 acres
686,Haha,Cyanea shipmanii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34744,6063.3 acres
1197,No common name,Asplenium dielfalcatum,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,897132,9454.4 acres
2118,`Awikiwiki,Canavalia napaliensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,501185,2549.4 acres
1117,Mehamehame,Flueggea neowawraea,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,502636,25611.5 acres
385,"Moccasinshell, Ochlockonee",Medionidus simpsonianus,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2007-11-15),Download,80267,90.0 miles
3849,"Salamander, Jemez Mountains",Plethodon neomexicanus,Wherever found,Amphibians,Region 2,Endangered,Final,Federal Register (2013-11-20),Download,173663,90554.7 acres
591,No common name,Phyllostegia parviflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196181,38989.2 acres
34,"Mouse, Choctawhatchee beach",Peromyscus polionotus allophrys,Wherever found,Mammals,Region 4,Endangered,Final,Federal Register (2006-10-12),Download,202369,2396.1 acres
2278,Ko`oko`olau,Bidens amplectens,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,35735,2040.4 acres
10230,No common name,Phyllostegia haliakalae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,832855,48308.3 acres
5991,Haiwale,Cyrtandra waiolani,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34263,25740.9 acres
81,"parrotbill, Maui (Kiwikiu)",Pseudonestor xanthophrys,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,179593,108852.0 acres
10077,"Salmon, Atlantic",Salmo salar,Gulf of Maine DPS,Fishes,Region 5,Endangered,Final,Federal Register (2009-06-19),Download,161996,6081655.7 acres
672,`Oha wai,Clermontia peleana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34658,16078.8 acres
8352,"Darter, candy",Etheostoma osburni,Wherever found,Fishes,Region 5,Endangered,Proposed,Federal Register (2018-11-21),Download,168419,344.7 miles
3412,"Skipper, Dakota",Hesperia dacotae,Wherever found,Insects,Region 3,Threatened,Final,Federal Register (2015-10-01),Download,706618,19976.5 acres
1100,Haha,Cyanea copelandii ssp. copelandii,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-07-02),,523918,
2891,"Seal, Hawaiian monk",Monachus schauinslandi,Wherever found,Mammals,NOAA,Endangered,Final,Federal Register (2015-08-21),Download,180661,1576422.5 acres
1068,No common name,Schiedea lydgatei,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,20215,8770.3 acres
674,Kauila,Colubrina oppositifolia,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,28528,18465.6 acres
1251,"fly, Hawaiian picture-wing",Drosophila mulli,Wherever found,Insects,Region 1,Threatened,Final,Federal Register (2008-12-04),Download,-760,691.4 acres
1142,Lo`ulu,Pritchardia maideniana,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-07-02),,817240,
7167,"Glade cress, Kentucky",Leavenworthia exigua laciniata,Wherever found,Flowering Plants,Region 4,Threatened,Final,Federal Register (2014-05-06),Download,528701,1846.2 acres
594,"Bluegrass, San Bernardino",Poa atropurpurea,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2008-08-14),Download,41110,2411.1 acres
