Entity ID,Common Name,Scientific Name,Where Listed,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
2514,"Salmon, Chinook",Oncorhynchus (=Salmo) tshawytscha,Central Valley spring-run ESU,Fishes,NOAA,Threatened,Final,Federal Register (2005-09-02),Download,161980,2481.2 miles
9220,"dace, Laurel",Chrosomus saylori,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (2012-10-16),Download,-1153,23.7 miles
1249,"fly, Hawaiian picture-wing",Drosophila heteroneura,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-781,4571.8 acres
729,No common name,Kadua st.-johnii,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,846025,
85,"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,Wherever found,Birds,Region 4,Endangered,Final,Federal Register (2007-11-06),Download,202311,84165.7 acres
613,"Catchfly, Spalding's",Silene spaldingii,Wherever found,Flowering Plants,Region 1,Threatened,Proposed,Federal Register (2000-04-24),,20126,
9943,"salamander, Reticulated flatwoods",Ambystoma bishopi,Wherever found,Amphibians,Region 4,Endangered,Final,Federal Register (2009-02-10),Download,775866,3820.7 acres
4042,"Bean, Choctaw",Villosa choctawensis,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2012-10-10),Download,80205,1201.2 miles
377,"Clubshell, ovate",Pleurobema perovatum,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80120,899.1 miles
63,"Kangaroo rat, San Bernardino Merriam's",Dipodomys merriami parvus,Wherever found,Mammals,Region 8,Endangered,Final,Federal Register (2008-10-17),Download,625244,33350.7 acres
183,"Whipsnake (=striped racer), Alameda",Masticophis lateralis euryxanthus,Wherever found,Reptiles,Region 8,Threatened,Final,Federal Register (2006-10-02),Download,209331,155857.9 acres
917,Haha,Cyanea stictophylla,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34748,5247.2 acres
24,"Lynx, Canada",Lynx canadensis,Wherever Found in Contiguous U.S.,Mammals,Region 6,Threatened,Final,Federal Register (2014-09-12),Download,180585,26191443.5 acres
445,"Dragonfly, Hine's emerald",Somatochlora hineana,Wherever found,Insects,Region 3,Endangered,Final,Federal Register (2010-04-23),Download,101968,25890.5 acres
874,"Chaff-flower, round-leaved",Achyranthes splendens var. rotundata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,181935,2040.4 acres
1208,Wawae`iole,Huperzia nutans,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,503080,31073.3 acres
5362,"Tryonia, Gonzales",Tryonia circumstriata (=stocktonensis),Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2013-07-09),Download,568402,463.0 acres
150,"elepaio, Oahu",Chasiempis ibidis,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (2001-12-10),Download,-1327,65775.6 acres
2970,Kolea,Myrsine vaccinioides,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,503916,1479.1 acres
1107,Haha,Cyanea undulata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,34754,2483.4 acres
758,No common name,Lobelia niihauensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196205,9454.4 acres
492,"Fairy shrimp, Riverside",Streptocephalus woottoni,Wherever found,Crustaceans,Region 8,Endangered,Final,Federal Register (2012-12-04),Download,624020,2655.7 acres
9954,Naenae,Dubautia kalalauensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,780679,14384.1 acres
490,"Fairy shrimp, Conservancy",Branchinecta conservatio,Wherever found,Crustaceans,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,624021,161522.7 acres
3388,Papala,Charpentiera densiflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,20788,7463.2 acres
603,Ma`oli`oli,Schiedea kealiae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,20212,2040.4 acres
972,"Navarretia, spreading",Navarretia fossalis,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2010-10-07),Download,31328,7562.9 acres
